"Date","Price","Open","High","Low","Change %"
"01/03/2022","111.52","111.52","111.52","111.52","-0.68%"
"12/31/2021","112.28","112.28","112.28","112.28","-0.24%"
"12/30/2021","112.55","112.55","112.55","112.55","0.74%"
"12/29/2021","111.72","111.72","111.72","111.72","-0.17%"
"12/28/2021","111.91","111.91","111.91","111.91","-0.10%"
"12/27/2021","112.02","112.02","112.02","112.02","0.51%"
"12/23/2021","111.45","111.45","111.45","111.45","-0.39%"
"12/22/2021","111.89","111.89","111.89","111.89","0.30%"
"12/21/2021","111.55","111.55","111.55","111.55","0.22%"
"12/20/2021","111.31","111.31","111.31","111.31","-0.21%"
"12/17/2021","111.55","111.55","111.55","111.55","-0.15%"
"12/16/2021","111.71","111.71","111.71","111.71","0.19%"
"12/15/2021","111.50","111.50","111.50","111.50","0.37%"
"12/14/2021","111.09","111.09","111.09","111.09","-0.36%"
"12/13/2021","111.49","111.49","111.49","111.49","0.04%"
"12/10/2021","111.45","111.45","111.45","111.45","0.01%"
"12/09/2021","111.44","111.44","111.44","111.44","-0.31%"
"12/08/2021","111.78","111.78","111.78","111.78","-0.02%"
"12/07/2021","111.80","111.80","111.80","111.80","0.16%"
"12/06/2021","111.63","111.63","111.63","111.63","-0.71%"
"12/03/2021","112.42","112.42","112.42","112.42","0.59%"
"12/02/2021","111.77","111.77","111.77","111.77","0.02%"
"12/01/2021","111.74","111.74","111.74","111.74","-0.36%"
"11/30/2021","112.15","112.15","112.15","112.15","0.21%"
"11/29/2021","111.91","111.91","111.91","111.91","-0.31%"
"11/26/2021","112.26","112.26","112.26","112.26","0.91%"
"11/24/2021","111.24","111.24","111.24","111.24","0.25%"
"11/23/2021","110.97","110.97","110.97","110.97","-0.41%"
"11/22/2021","111.43","111.43","111.43","111.43","-1.06%"
"11/19/2021","112.63","112.63","112.63","112.63","-0.27%"
"11/18/2021","112.93","112.93","112.93","112.93","-0.01%"
"11/17/2021","112.95","112.95","112.95","112.95","0.24%"
"11/16/2021","112.68","112.68","112.68","112.68","-0.32%"
"11/15/2021","113.04","113.04","113.04","113.04","-0.15%"
"11/12/2021","113.21","113.21","113.21","113.21","0.09%"
"11/10/2021","113.11","113.11","113.11","113.11","-0.46%"
"11/09/2021","113.63","113.63","113.63","113.63","0.69%"
"11/08/2021","112.86","112.86","112.86","112.86","0.33%"
"11/05/2021","112.48","112.48","112.48","112.48","0.53%"
"11/04/2021","111.89","111.89","111.89","111.89","0.80%"
"11/03/2021","111.00","111.00","111.00","111.00","-0.18%"
"11/02/2021","111.20","111.20","111.20","111.20","0.25%"
"11/01/2021","110.92","110.92","110.92","110.92","-0.73%"
"10/29/2021","111.74","111.74","111.74","111.74","0.10%"
"10/28/2021","111.63","111.63","111.63","111.63","-1.08%"
"10/27/2021","112.84","112.84","112.84","112.84","0.43%"
"10/26/2021","112.36","112.36","112.36","112.36","0.45%"
"10/25/2021","111.85","111.85","111.85","111.85","0.34%"
"10/22/2021","111.47","111.47","111.47","111.47","0.47%"
"10/21/2021","110.95","110.95","110.95","110.95","0.08%"
"10/20/2021","110.85","110.85","110.85","110.85","0.27%"
"10/19/2021","110.55","110.55","110.55","110.55","-0.46%"
"10/18/2021","111.06","111.06","111.06","111.06","-0.29%"
"10/15/2021","111.39","111.39","111.39","111.39","-0.31%"
"10/14/2021","111.73","111.73","111.73","111.73","0.35%"
"10/13/2021","111.34","111.34","111.34","111.34","0.61%"
"10/12/2021","110.66","110.66","110.66","110.66","0.21%"
"10/08/2021","110.43","110.43","110.43","110.43","-0.01%"
"10/07/2021","110.45","110.45","110.45","110.45","-0.19%"
"10/06/2021","110.66","110.66","110.66","110.66","-0.12%"
"10/05/2021","110.79","110.79","110.79","110.79","0.18%"
"10/04/2021","110.59","110.59","110.59","110.59","-0.04%"
"10/01/2021","110.63","110.63","110.63","110.63","0.28%"
"09/30/2021","110.31","110.31","110.31","110.31","0.32%"
"09/29/2021","109.96","109.96","109.96","109.96","0.02%"
"09/28/2021","109.94","109.94","109.94","109.94","-0.32%"
"09/27/2021","110.29","110.29","110.29","110.29","0.00%"
"09/24/2021","110.29","110.29","110.29","110.29","-0.09%"
"09/23/2021","110.39","110.39","110.39","110.39","-0.80%"
"09/22/2021","111.28","111.28","111.28","111.28","0.00%"
"09/21/2021","111.28","111.28","111.28","111.28","-0.22%"
"09/20/2021","111.52","111.52","111.52","111.52","0.08%"
"09/17/2021","111.43","111.43","111.43","111.43","-0.39%"
"09/16/2021","111.87","111.87","111.87","111.87","-0.23%"
"09/15/2021","112.13","112.13","112.13","112.13","-0.03%"
"09/14/2021","112.16","112.16","112.16","112.16","0.03%"
"09/13/2021","112.13","112.13","112.13","112.13","-0.06%"
"09/10/2021","112.20","112.20","112.20","112.20","-0.41%"
"09/09/2021","112.66","112.66","112.66","112.66","0.47%"
"09/08/2021","112.13","112.13","112.13","112.13","0.55%"
"09/07/2021","111.52","111.52","111.52","111.52","-0.27%"
"09/03/2021","111.83","111.83","111.83","111.83","-0.33%"
"09/02/2021","112.20","112.20","112.20","112.20","0.03%"
"09/01/2021","112.16","112.16","112.16","112.16","0.15%"
"08/31/2021","111.99","111.99","111.99","111.99","-0.59%"
"08/30/2021","112.66","112.66","112.66","112.66","0.10%"
"08/27/2021","112.55","112.55","112.55","112.55","0.84%"
"08/26/2021","111.61","111.61","111.61","111.61","-0.13%"
"08/25/2021","111.76","111.76","111.76","111.76","-0.13%"
"08/24/2021","111.91","111.91","111.91","111.91","-0.07%"
"08/23/2021","111.98","111.98","111.98","111.98","0.15%"
